N,blocks,repeats,mean_ms,std_ms,min_ms,max_ms,samples_ms
64,8,30,0.2657784,0.0370934062916476,0.245167,0.394345,0.245;0.245;0.349;0.245;0.296;0.306;0.255;0.259;0.394;0.246;0.249;0.245;0.319;0.254;0.245;0.320;0.245;0.246;0.246;0.245;0.245;0.246;0.255;0.245;0.285;0.245;0.247;0.259;0.246;0.246
64,16,30,0.24104543333333334,0.03906483546678684,0.21987,0.340735,0.220;0.231;0.220;0.220;0.220;0.253;0.220;0.220;0.330;0.230;0.221;0.327;0.220;0.220;0.220;0.223;0.221;0.220;0.223;0.283;0.223;0.220;0.284;0.221;0.320;0.220;0.220;0.220;0.341;0.220
64,24,30,0.28175733333333336,0.127307557324591,0.217606,0.820069,0.328;0.218;0.218;0.300;0.580;0.820;0.218;0.218;0.218;0.218;0.310;0.292;0.349;0.218;0.218;0.218;0.287;0.218;0.218;0.299;0.218;0.327;0.218;0.218;0.229;0.371;0.257;0.218;0.218;0.218
64,32,30,0.21865023333333333,0.01609032022287663,0.213268,0.280233,0.233;0.213;0.214;0.213;0.280;0.214;0.213;0.213;0.213;0.213;0.213;0.214;0.213;0.224;0.213;0.213;0.213;0.213;0.214;0.214;0.213;0.214;0.213;0.214;0.214;0.213;0.271;0.213;0.213;0.213
64,48,30,0.22851596666666665,0.031093286460743982,0.212206,0.300771,0.301;0.214;0.213;0.213;0.234;0.213;0.290;0.213;0.212;0.212;0.212;0.212;0.213;0.299;0.300;0.228;0.213;0.245;0.213;0.212;0.212;0.213;0.212;0.212;0.284;0.213;0.212;0.212;0.213;0.212
64,64,30,0.2367363,0.053504472838581285,0.206776,0.422438,0.207;0.246;0.207;0.207;0.236;0.209;0.207;0.374;0.207;0.234;0.207;0.207;0.207;0.289;0.211;0.327;0.237;0.233;0.251;0.207;0.291;0.207;0.422;0.207;0.207;0.207;0.207;0.231;0.207;0.207
64,96,30,0.2461993,0.06300102371590262,0.206645,0.45574,0.208;0.286;0.207;0.208;0.207;0.207;0.207;0.270;0.207;0.207;0.207;0.251;0.207;0.297;0.207;0.207;0.456;0.339;0.207;0.207;0.207;0.235;0.237;0.207;0.366;0.310;0.250;0.207;0.213;0.356
64,128,30,0.2642526666666667,0.07008164357884769,0.206765,0.449929,0.207;0.250;0.306;0.214;0.224;0.423;0.207;0.311;0.223;0.283;0.207;0.233;0.232;0.294;0.207;0.296;0.242;0.207;0.254;0.247;0.310;0.207;0.207;0.417;0.450;0.244;0.207;0.372;0.239;0.207
128,8,30,2.1954996666666666,0.25233092995158146,1.96369,2.84588,2.087;2.145;2.125;1.964;1.983;2.131;2.076;2.595;2.448;1.985;2.245;1.981;1.987;2.487;2.050;2.846;2.513;1.975;1.977;1.983;2.065;2.090;2.248;2.336;2.059;2.168;1.998;2.489;2.036;2.794
128,16,30,1.8994603333333333,0.11805481624150743,1.77299,2.19983,1.907;1.774;1.778;1.833;2.200;1.940;1.901;1.910;1.896;1.849;1.891;1.872;2.014;1.781;1.895;2.142;1.773;1.951;1.819;2.120;2.003;2.077;1.979;1.778;1.805;1.774;1.866;1.801;1.880;1.777
128,24,30,1.8860093333333334,0.21541817291080592,1.74551,2.67913,1.981;1.785;1.765;1.873;1.948;1.990;1.765;1.763;1.746;1.834;1.762;1.777;1.848;1.785;1.771;2.572;1.774;1.841;1.905;1.775;1.986;1.857;1.894;1.779;1.774;1.951;1.843;1.809;1.748;2.679
128,32,30,1.825049,0.13314117123668343,1.70466,2.11979,1.808;1.733;1.761;1.705;2.037;2.068;1.843;1.725;1.727;1.723;1.797;1.723;1.723;1.743;1.718;2.077;1.743;1.897;2.120;1.898;1.765;1.729;1.850;1.798;1.719;1.779;1.722;2.033;1.729;2.059
128,48,30,1.9563066666666666,0.29643319575770594,1.694,2.79939,1.785;2.504;2.678;2.380;2.799;2.009;1.787;1.790;2.101;1.866;1.770;1.793;1.810;1.695;2.269;2.051;1.821;1.798;1.706;1.742;1.787;1.768;1.694;1.985;1.977;1.780;1.875;1.782;2.175;1.713
128,64,30,2.1566746666666665,0.3319473569577929,1.68093,2.89733,1.799;1.860;2.314;2.221;1.681;2.106;2.279;2.585;1.978;2.453;1.988;2.489;2.726;2.252;2.650;2.133;2.098;1.859;2.897;1.921;1.927;2.303;1.854;1.757;2.729;1.954;2.200;2.137;1.814;1.736
128,96,30,1.8629296666666666,0.21915389680790975,1.67167,2.39433,2.309;1.682;1.740;1.686;1.825;1.751;1.855;1.683;1.730;2.290;1.692;1.843;2.057;1.672;1.675;2.251;1.737;2.043;1.727;1.699;1.745;2.394;2.053;1.674;1.791;1.943;1.672;2.093;1.826;1.750
128,128,30,1.7507523333333335,0.1466188135992935,1.63738,2.13416,1.768;1.689;1.968;1.683;1.662;1.924;1.898;1.655;1.661;1.656;2.046;1.685;1.746;1.665;1.637;1.805;1.699;1.664;2.134;1.739;1.653;1.664;1.656;2.128;1.662;1.652;1.653;1.657;1.676;1.736
256,8,30,18.486326666666667,1.659682558333606,16.4914,22.205,18.030;17.300;17.295;17.384;16.870;16.491;17.334;17.038;17.244;16.502;17.038;16.946;16.670;17.566;16.863;18.934;19.996;20.370;17.158;19.180;19.109;19.273;19.463;22.205;21.116;19.061;20.377;20.541;20.021;21.213
256,16,30,17.77283,1.501791443611079,14.7075,20.952,17.945;17.076;18.718;17.390;16.724;18.247;19.854;18.449;17.205;16.768;18.096;15.744;19.187;16.062;15.409;18.150;19.150;17.965;14.707;18.027;20.211;19.252;16.514;17.268;17.377;15.574;17.109;18.168;20.952;19.887
256,24,30,15.40823,0.6465071619466218,14.5983,16.9007,15.115;14.706;16.101;14.965;16.278;16.006;15.842;15.054;15.451;16.601;15.226;14.664;15.284;15.771;14.932;15.292;16.901;14.656;14.896;14.604;14.995;15.136;16.154;14.598;14.709;16.229;15.693;15.115;16.109;15.165
256,32,30,15.07227,0.6433576868328355,13.9975,16.2985,14.840;16.299;14.213;15.692;15.173;15.659;14.973;15.686;15.184;14.506;16.116;13.998;14.851;14.814;15.491;14.684;14.437;15.000;14.176;14.485;15.447;14.204;14.630;15.604;15.169;14.609;16.033;16.220;14.707;15.270
256,48,30,1863.95335,10126.511242583812,14.1322,55480.3,15.401;55480.300;15.952;16.499;15.960;15.342;14.925;14.765;14.588;15.088;16.117;15.086;14.690;14.873;15.075;14.426;14.740;14.623;14.581;15.066;15.321;14.132;14.451;14.803;14.328;14.517;14.473;17.937;14.418;16.121
256,64,30,16.383066666666668,1.0275841834239121,14.1387,19.3619,17.113;15.557;14.139;18.542;15.601;15.754;17.033;17.090;15.801;16.726;16.520;19.362;16.033;16.373;15.555;15.992;15.704;17.063;15.492;15.320;17.270;17.267;15.991;15.873;16.422;16.955;15.642;17.121;16.814;15.368
256,96,30,15.228716666666667,1.6213804576142312,13.5048,20.5863,14.092;15.564;15.345;19.796;18.168;20.586;15.318;13.804;14.011;14.899;14.912;15.018;15.268;16.127;14.039;14.363;14.797;13.863;13.925;15.450;15.187;14.312;15.545;14.446;15.204;14.463;14.318;13.505;15.521;15.016
256,128,30,14.95593,0.9273141163857453,13.7559,17.7514,14.234;14.725;13.845;14.724;14.853;14.443;14.416;17.751;15.242;16.272;14.835;15.888;14.181;13.888;15.639;13.756;14.619;13.945;14.601;15.155;16.703;15.773;15.558;14.861;15.636;15.560;14.207;15.146;14.349;13.876
512,8,30,3826.617933333333,14039.165274828007,133.904,55638.7,136.679;140.931;138.277;136.602;140.679;136.334;135.348;135.472;138.121;55638.700;55307.700;142.631;138.447;135.287;136.818;135.153;137.621;135.656;136.499;134.545;136.741;135.253;143.131;133.904;147.513;138.525;138.881;135.095;135.095;136.900
