N,threads,repeats,mean_ms,std_ms,min_ms,max_ms,samples_ms
64,1,30,0.7183023666666667,0.10285902826097452,0.60658,0.939492,0.727;0.712;0.607;0.637;0.922;0.759;0.629;0.629;0.639;0.841;0.609;0.853;0.911;0.609;0.873;0.761;0.741;0.631;0.778;0.939;0.732;0.725;0.634;0.697;0.609;0.663;0.743;0.691;0.639;0.610
64,2,30,0.7986538,0.14477143298874193,0.64366,1.30878,0.772;0.716;0.792;0.700;1.309;0.651;0.852;0.842;0.852;0.702;1.051;0.667;0.862;0.685;0.726;0.935;0.644;0.739;0.905;0.710;0.752;0.901;0.674;0.751;0.751;0.702;0.958;0.696;0.685;0.979
64,4,30,0.9713952666666666,0.1276480610766027,0.802526,1.26109,0.876;0.803;0.907;0.951;1.261;1.217;0.825;1.184;0.992;0.819;0.901;0.829;0.822;0.887;0.927;1.051;0.923;1.035;1.017;0.982;0.971;1.126;1.016;1.170;0.841;1.109;0.987;0.876;0.855;0.983
64,8,30,2.9520560000000002,5.356179221471344,1.45787,31.2407,2.113;2.559;1.674;2.677;2.507;1.513;1.669;2.385;1.565;1.959;1.721;2.040;1.790;1.520;2.354;1.916;2.057;1.799;2.167;1.783;31.241;2.640;1.583;1.540;1.762;2.473;2.155;2.365;1.575;1.458
64,10,30,3.89089,7.165728757374854,1.68861,30.2297,2.270;1.709;1.796;3.337;1.811;2.438;1.986;1.793;1.840;1.689;2.499;1.796;1.789;1.740;1.847;3.343;1.875;1.701;1.949;1.832;1.772;2.371;1.764;1.703;1.730;30.178;1.773;2.396;1.769;30.230
64,12,30,1833.9054386666667,9987.007585834208,2.02854,54711.6,2.332;12.792;9.069;21.255;9.378;8.852;7.093;10.604;6.962;12.417;6.954;6.800;29.189;7.768;9.725;6.987;2.119;12.920;2.296;7.153;7.028;2.029;54711.600;8.721;9.275;7.780;9.303;2.080;8.927;57.754
128,1,30,5.339312333333333,0.3199735743472806,4.72893,6.07665,5.296;4.729;5.659;4.962;5.002;5.381;5.557;5.562;5.310;5.290;5.784;4.980;5.125;5.877;5.600;5.847;4.889;5.366;5.132;6.077;5.573;5.428;5.319;5.190;5.379;5.088;4.997;5.092;5.226;5.464
128,2,30,3.5930513333333334,0.3334803837557541,3.21418,4.48143,3.292;4.481;3.731;3.639;3.538;3.342;3.238;3.793;3.332;3.214;3.269;3.971;3.531;3.368;3.424;3.916;3.547;3.286;3.320;3.582;3.247;3.530;4.010;3.723;3.437;3.457;4.040;3.666;4.423;3.440
128,4,30,3.9749546666666666,5.128201488916197,2.37188,31.0562,2.872;2.829;2.479;2.511;31.056;3.830;2.372;4.066;3.000;3.122;2.669;3.443;2.687;2.931;3.099;3.129;2.864;2.911;3.090;2.630;3.102;3.437;3.054;3.092;3.450;3.420;3.026;2.888;3.105;3.086
128,8,30,3.1141383333333335,0.2332668537886101,2.621,4.05304,3.094;3.310;3.296;3.320;3.059;2.621;3.104;2.905;4.053;3.039;3.004;2.968;3.106;2.900;2.993;3.187;3.193;3.366;3.044;2.954;3.057;3.188;2.956;3.201;3.077;3.017;3.041;3.261;3.029;3.084
128,10,30,4.5336039999999995,7.262379960360956,2.35245,32.0087,3.105;2.810;2.538;2.405;2.902;3.186;2.571;32.009;2.468;2.480;2.653;2.548;2.565;2.451;2.744;2.724;2.690;2.352;2.621;2.723;2.556;2.404;2.475;2.751;2.720;2.415;2.607;2.663;30.451;2.423
128,12,30,11.385974333333333,8.025575200682603,2.59366,33.0606,9.393;33.061;7.966;10.925;12.842;7.746;32.487;13.075;7.722;2.594;13.774;8.257;13.605;2.703;9.872;13.438;32.802;12.628;8.759;13.091;10.063;2.876;9.333;7.562;10.063;2.758;7.445;4.129;7.480;13.128
256,1,30,3685.097816666667,13872.557320682989,37.5002,54760.7,37.972;39.553;38.264;38.215;39.599;37.500;40.442;39.409;39.029;54760.700;42.263;38.736;54677.300;50.001;40.098;38.874;38.733;39.795;39.438;40.180;39.091;40.014;40.904;39.184;40.429;39.722;38.153;39.731;40.193;39.411
256,2,30,24.28297,2.379567203063732,21.295,30.2132,26.925;23.651;30.090;26.381;24.267;23.370;25.098;23.734;22.884;28.887;23.621;23.350;22.141;23.783;22.279;22.428;22.129;22.587;23.744;23.820;25.660;26.914;30.213;22.697;22.611;21.295;23.739;22.428;21.663;26.100
256,4,30,15.361583333333334,2.3760122930256893,12.2215,19.9806,19.981;15.795;18.706;19.334;17.361;13.582;18.233;13.961;18.903;14.822;18.741;13.647;14.695;14.484;14.353;12.325;13.060;13.731;12.222;15.675;16.118;12.536;14.403;14.590;14.001;15.001;16.629;12.864;12.282;18.814
256,8,30,12.572596666666666,9.829109815160178,9.53981,64.4807,12.260;10.773;11.243;10.867;11.626;12.350;10.712;9.540;10.177;10.762;10.040;10.450;11.825;10.412;64.481;11.613;10.376;10.541;9.638;11.098;11.528;10.237;10.510;10.573;11.581;10.315;10.275;10.032;10.640;10.703
256,10,30,1834.9259829999999,9991.34353613253,8.76337,54735.6,10.408;9.555;8.763;8.800;10.482;9.838;10.095;10.208;9.813;10.318;9.278;9.526;9.850;9.683;10.227;54735.600;9.525;9.582;9.067;10.606;9.492;9.993;10.004;11.683;9.097;9.994;9.668;10.004;37.616;9.002
256,12,30,15.586831666666667,3.2992152454130803,8.41759,19.5103,18.231;9.396;19.510;18.930;8.475;13.930;19.084;17.249;14.114;17.349;16.827;16.202;18.147;15.299;15.021;16.651;15.680;17.508;19.222;17.523;13.935;13.706;18.366;8.418;19.136;13.653;8.796;16.561;13.040;17.645
512,1,30,311.0309,8.696779207031883,302.719,342.964,302.963;308.419;308.557;308.721;305.121;307.120;304.948;309.033;303.063;303.929;329.682;320.930;306.154;313.923;307.808;302.719;308.296;303.789;309.747;310.135;310.780;308.277;307.624;315.417;342.964;320.166;315.268;319.863;311.357;304.154
512,2,30,184.48246666666665,10.125512822205286,166.74,204.426,199.129;184.213;194.675;186.309;196.006;177.212;184.441;199.488;204.426;168.772;173.080;169.781;186.276;190.044;179.939;174.593;171.792;179.388;183.783;187.470;192.803;170.800;196.034;185.229;194.075;191.518;186.882;181.257;178.319;166.740
512,4,30,1922.5372100000002,9953.96825343382,88.0207,54625.3,145.354;102.307;102.759;111.401;107.100;111.602;104.915;88.021;89.377;97.340;102.036;118.115;101.828;97.126;102.601;110.266;98.768;54625.300;112.818;103.166;98.426;112.451;95.841;93.307;104.149;107.218;116.490;105.552;105.978;104.505
512,8,30,64.68689666666667,4.061370441415348,56.5957,78.1478,69.112;70.014;65.712;60.111;59.771;66.433;62.737;56.596;62.319;62.271;65.901;64.560;66.401;66.129;65.017;61.464;67.429;65.289;64.424;61.436;63.518;63.423;63.703;59.983;78.148;70.388;63.491;66.410;67.397;61.021
512,10,30,1878.1035566666667,9992.423209437693,51.3755,54784.5,56.715;52.497;51.944;51.376;58.426;51.562;54784.500;52.451;52.134;57.330;52.717;55.095;53.271;53.923;51.645;53.045;55.928;56.662;57.054;52.235;52.376;54.006;53.054;52.383;55.382;52.638;53.572;53.540;52.511;53.135
512,12,30,62.353833333333334,5.090004657292993,47.7656,71.4793,64.719;62.273;66.291;64.210;64.230;47.938;57.922;63.008;62.906;55.743;63.248;64.708;62.805;62.632;63.903;63.983;64.035;66.634;56.817;63.245;62.487;61.826;62.013;63.839;71.479;64.371;60.091;64.501;47.766;70.990
1024,1,30,7863.350333333334,16254.37047763324,2494.37,57777.0,2509.720;2543.010;2511.710;2542.300;2582.790;2525.780;52218.000;57248.400;2519.270;2573.520;2667.090;2612.120;2528.420;2562.900;2554.400;2549.970;2497.290;2538.640;2534.700;2523.370;2494.370;2547.500;2525.770;2514.640;2546.380;2534.930;2500.750;2550.440;57777.000;2565.330
1024,2,30,5046.36,13506.880730073635,1380.69,56164.6,1551.590;1593.920;1409.470;1415.100;1505.970;1458.960;1516.150;56164.600;53264.900;1467.970;1549.860;1380.690;1422.680;1518.190;1481.700;1564.750;1514.050;1398.720;1598.210;1639.690;1526.250;1444.130;1483.840;1497.140;1474.890;1524.330;1497.240;1419.230;1576.950;1529.630
1024,4,30,4456.781233333333,13669.489055040007,519.696,55656.3,55656.300;819.988;880.796;905.320;860.541;902.156;926.557;870.373;874.771;914.410;866.017;854.268;903.806;853.734;829.246;882.287;922.156;53813.800;852.087;881.582;861.472;893.196;837.208;892.849;798.642;852.955;939.147;890.515;519.696;947.562
1024,8,30,7702.72,18650.193866491107,472.827,55216.1,536.366;533.092;562.177;530.928;546.988;523.327;54182.400;487.244;504.364;509.913;501.966;472.827;509.499;482.340;481.647;54222.100;498.568;487.597;530.946;565.798;498.077;489.850;504.400;55216.100;54181.500;506.989;488.545;528.130;494.901;503.021
1024,10,30,444.5747333333333,50.71756393443674,198.377,488.288,437.439;432.002;419.727;428.326;434.528;431.616;451.944;440.081;451.208;430.751;451.125;421.573;436.886;443.111;435.971;451.469;449.160;464.642;468.703;482.373;484.641;463.798;474.832;198.377;476.400;486.719;467.677;467.235;466.640;488.288
1024,12,30,4029.6908166666663,13777.646972589839,35.1355,55123.7,445.788;452.859;461.574;35.136;413.526;419.455;422.156;409.955;411.762;420.834;416.098;423.072;439.810;55123.700;54300.700;422.216;398.028;406.509;422.158;421.168;431.930;413.267;419.050;418.087;452.480;417.187;416.683;408.023;413.913;433.601
2048,1,30,22775.816666666666,10230.351965128193,20084.9,75186.4,20094.500;20250.600;20212.900;20287.400;20188.100;75186.400;21573.700;20661.100;21125.200;21106.700;21487.100;21270.400;20325.700;20366.500;20284.400;34463.900;20196.700;20241.600;20084.900;20483.600;20800.700;20340.300;20265.800;20383.300;20167.000;20356.900;20223.700;20205.100;20361.300;20279.000
2048,2,30,16635.646666666667,14766.870561654006,11617.7,66924.1,11878.100;11900.100;11963.200;11923.600;12297.100;11881.100;11879.700;11808.200;11696.400;12111.300;66858.000;66924.100;12078.600;11875.800;12167.000;12021.400;42685.900;11966.100;11932.200;11957.300;11784.900;12075.000;12027.000;12176.000;12148.700;11761.800;11710.900;11917.600;11617.700;12044.600
2048,4,30,6734.24,271.1910216192574,6307.17,7185.25,6521.080;6471.960;6740.880;7155.560;7164.540;6928.030;6590.550;6628.130;6767.580;6610.760;6964.150;7090.480;7031.750;7105.970;6637.380;6613.020;6685.820;6337.140;6381.580;6674.040;7185.250;6913.160;7154.990;6509.830;6603.890;6307.170;6365.030;6520.360;6715.800;6651.320
2048,8,30,5434.885333333334,8550.14244948232,3755.21,50703.4,3975.790;3911.060;3864.780;3907.700;3893.930;3755.210;3948.760;3938.270;3847.600;3845.000;3773.670;3875.850;3895.110;50703.400;3940.110;3867.370;3873.990;4017.580;3844.390;3822.080;3781.020;3829.380;3768.260;3791.530;3818.090;3934.060;4010.950;3913.490;3906.420;3791.710
2048,10,30,3396.5633333333335,38.75834756213336,3330.43,3543.59,3426.980;3381.860;3415.180;3406.030;3444.350;3330.430;3402.740;3427.210;3543.590;3425.990;3371.850;3389.580;3368.690;3386.210;3407.600;3412.770;3388.450;3377.360;3370.950;3389.000;3400.000;3406.180;3404.260;3357.430;3342.320;3399.030;3394.440;3410.530;3335.950;3379.940
2048,12,30,5056.577666666667,9978.787164878438,3175.02,57890.3,3415.010;3209.230;3205.820;3203.070;3257.290;3175.020;3227.000;3301.950;3295.160;57890.300;3199.930;3226.590;3247.730;3213.190;3224.630;3223.510;3225.210;3240.320;3215.350;3211.810;3244.610;3243.280;3229.680;3219.090;3235.830;3225.950;3212.960;3238.310;3208.990;3230.510
