N,threads,repeats,mean_ms,std_ms,min_ms,max_ms,samples_ms
64,1,30,0.2726342666666667,0.05386916242855482,0.234026,0.425133,0.425;0.244;0.278;0.235;0.234;0.352;0.281;0.236;0.235;0.237;0.235;0.416;0.280;0.240;0.345;0.267;0.235;0.235;0.235;0.246;0.273;0.285;0.287;0.281;0.235;0.259;0.234;0.235;0.359;0.241
64,2,30,0.5021725,0.15021637602603968,0.32161,0.998717,0.772;0.450;0.643;0.342;0.372;0.551;0.364;0.322;0.430;0.446;0.354;0.383;0.546;0.463;0.716;0.478;0.705;0.476;0.540;0.469;0.577;0.341;0.999;0.403;0.606;0.379;0.423;0.499;0.550;0.465
64,4,30,0.7175828666666667,0.12102728764884711,0.586333,1.15533,0.661;0.781;0.619;0.632;0.760;0.876;0.787;1.155;0.724;0.630;0.712;0.822;0.639;0.627;0.608;0.961;0.605;0.674;0.790;0.738;0.629;0.602;0.697;0.773;0.668;0.683;0.633;0.721;0.735;0.586
64,8,30,1.7711833333333333,0.500506467224284,1.28846,3.07491,1.408;2.098;1.826;1.674;1.482;1.901;1.288;1.473;1.408;1.459;1.830;2.952;1.333;2.819;1.405;1.962;1.291;1.637;1.494;1.486;2.541;1.429;1.493;1.303;1.743;3.075;2.315;1.842;1.678;1.492
64,10,30,1.867581,0.4757993884803509,1.40736,3.16127,1.843;1.812;1.561;1.945;2.427;1.736;3.024;1.663;1.429;2.575;2.038;1.907;1.592;1.834;1.588;1.632;1.407;2.748;1.606;1.600;1.666;3.161;1.460;1.666;1.631;2.357;1.494;1.465;1.529;1.631
64,12,30,8.711674333333333,7.0069483171618385,1.59677,33.8287,9.409;5.817;11.723;8.710;10.609;33.829;9.920;9.793;6.466;2.015;29.919;6.728;6.820;9.134;2.555;12.314;6.778;3.217;1.864;6.893;10.465;4.031;8.395;10.130;2.410;6.970;7.702;1.597;8.662;6.475
128,1,30,1.9165403333333333,0.22523376696810732,1.7926,3.00115,1.934;1.820;1.796;1.814;1.854;1.895;1.860;2.162;1.801;1.845;1.793;2.065;3.001;1.866;1.912;1.798;1.796;1.803;1.855;1.801;2.054;1.925;1.794;1.907;2.001;1.810;1.836;1.970;1.803;1.929
128,2,30,1.5731216666666668,0.32171428496773163,1.1399,2.38333,2.120;1.830;1.231;1.725;1.726;1.370;1.166;1.439;1.750;1.836;1.771;1.508;1.717;1.330;1.151;1.770;1.700;1.749;1.743;1.247;1.140;1.590;1.228;2.118;1.302;2.383;1.146;1.244;1.580;1.583
128,4,30,1.6042926666666666,0.2442756450509495,1.36674,2.15942,1.663;1.526;1.409;1.417;1.413;2.088;1.436;1.786;1.548;1.367;1.858;1.619;2.122;1.458;2.159;2.130;1.458;1.621;1.474;1.460;1.379;1.466;1.476;1.516;1.405;1.554;1.869;1.452;1.559;1.439
128,8,30,2.0134933333333334,0.4453848241792657,1.42482,3.39391,2.370;2.326;2.996;2.506;3.394;2.593;2.252;1.991;2.014;2.212;2.187;2.059;1.633;1.829;1.681;1.711;1.833;1.882;1.701;1.638;1.823;1.918;1.452;1.639;1.425;1.832;2.249;1.997;1.790;1.473
128,10,30,2.2762409999999997,1.0978103297406034,1.71862,7.99222,2.395;2.352;2.185;2.090;2.216;1.973;2.134;2.275;2.094;2.007;1.769;1.929;2.165;1.796;2.465;2.242;2.010;2.156;1.911;1.785;1.719;2.136;1.869;2.143;7.992;2.166;2.258;1.926;2.327;1.804
128,12,30,9.555046333333333,5.292881399205125,1.98215,30.0591,12.245;11.656;8.818;12.251;6.902;9.621;7.155;9.511;2.130;7.398;2.680;13.121;7.743;13.683;8.575;12.516;7.279;12.925;12.790;2.155;9.650;2.284;30.059;1.982;12.709;8.410;12.088;9.556;9.690;9.067
256,1,30,16.849613333333334,0.7199473834861168,15.6746,18.5154,16.225;16.690;17.057;16.122;16.081;16.527;15.675;16.609;16.547;16.715;16.133;17.663;17.051;18.301;17.059;18.435;16.530;15.930;17.080;16.808;16.793;17.195;18.515;17.368;17.182;17.166;16.024;16.362;16.266;17.380
256,2,30,10.644413,2.180180827761534,8.51651,18.7783,14.352;9.399;9.494;8.797;8.670;11.299;11.656;10.861;9.829;9.451;8.517;9.382;9.517;10.202;8.967;9.182;12.591;13.357;11.140;9.969;9.530;9.204;9.414;9.086;10.380;9.927;13.886;10.659;18.778;11.834
256,4,30,8.086307333333334,1.545612278262819,5.05232,10.7341,7.259;8.571;7.975;7.575;7.256;9.030;9.796;8.210;7.647;10.543;9.951;9.742;10.734;8.008;7.802;8.881;8.841;9.385;8.958;8.767;8.960;9.043;8.384;5.052;5.556;5.494;5.929;6.330;5.280;7.631
256,8,30,6.156970666666667,0.5076167741238995,5.50608,8.19774,8.198;6.101;5.932;6.282;6.037;5.816;5.780;5.808;5.506;6.251;5.971;6.411;5.770;6.173;6.324;5.976;6.174;5.627;6.591;6.839;6.058;6.036;6.218;5.872;5.908;6.301;5.754;7.025;5.970;5.999
256,10,30,1827.3752186666666,9976.90350153105,5.00357,54651.6,5.554;5.031;5.101;6.303;5.097;5.587;5.256;54651.600;5.464;5.754;17.000;5.926;5.457;5.359;5.809;5.524;6.138;5.282;5.487;5.415;5.511;5.184;5.502;5.513;5.004;5.218;5.170;5.546;5.341;5.125
256,12,30,10.882161,3.827392518746168,4.90102,16.7123,15.718;9.810;15.683;15.986;15.305;14.702;11.633;8.887;9.861;16.157;10.204;11.612;9.300;10.284;10.979;5.175;16.712;16.094;5.251;9.388;10.906;4.901;5.715;15.608;9.984;9.649;5.182;10.862;9.582;5.334
512,1,30,229.56906666666666,5.205126199625038,218.309,239.552,229.130;218.309;220.612;227.199;225.060;228.889;233.356;231.034;236.615;239.368;226.333;229.379;232.038;238.517;227.172;225.478;233.149;229.874;238.804;226.065;228.219;227.218;229.327;229.231;225.682;224.737;239.552;225.924;230.384;230.417
512,2,30,3765.1493,13832.685048654828,114.486,54808.6,142.311;138.884;131.528;136.016;54808.600;54495.700;149.371;127.062;123.170;123.879;144.419;124.149;157.284;138.220;115.251;128.840;128.932;136.958;131.277;123.279;121.480;119.690;116.652;128.367;128.545;136.197;126.209;114.486;130.899;126.824
